method,features,lags,mas,f1,precision,recall,cm
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_6_value')",0.023668639053254437,0.012987012987012988,0.13333333333333333,"[[1100  152]
 [  13    2]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_6_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_6_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_7_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_7_value')",0.03529411764705882,0.01935483870967742,0.2,"[[1100  152]
 [  12    3]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_7_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_7_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_8_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_8_value')",0.011904761904761904,0.006535947712418301,0.06666666666666667,"[[1100  152]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_8_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_8_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_9_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_9_value')",0.0125,0.006896551724137931,0.06666666666666667,"[[1108  144]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_9_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_9_value')",0.0759493670886076,0.046875,0.2,"[[1191   61]
 [  12    3]]"
IsolationForest,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_10_value')",0.06666666666666667,0.06666666666666667,0.06666666666666667,"[[1238   14]
 [  14    1]]"
OneClassSVM,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_10_value')",0.012345679012345678,0.006802721088435374,0.06666666666666667,"[[1106  146]
 [  14    1]]"
Autoencoder,"['day', 'month', 'day_of_week', 'quarter', 'lag_1_value', 'lag_2_value', 'ma_4_value', 'ma_10_value']","('lag_1_value', 'lag_2_value')","('ma_4_value', 'ma_10_value')",0.05063291139240506,0.03125,0.13333333333333333,"[[1190   62]
 [  13    2]]"
